./deficiencies/magnesium deficiency/magnesium_deficiency_5221f9ee.jpg,magnesium deficiency
./deficiencies/nitrogen deficiency/nitrogen_deficiency_3c99d337.jpg,nitrogen deficiency
./deficiencies/nitrogen deficiency/nitrogen_deficiency_578606ea.jpg,nitrogen deficiency
./deficiencies/nitrogen deficiency/nitrogen_deficiency_8f809606.jpg,nitrogen deficiency
./deficiencies/phosphorus deficiency/phosphorus_deficiency_a82c9d0d.jpg,phosphorus deficiency
./deficiencies/potassium deficiency/potassium_deficiency_2a2cc66f.jpg,potassium deficiency
./deficiencies/potassium deficiency/potassium_deficiency_541386d4.jpg,potassium deficiency
./deficiencies/potassium deficiency/potassium_deficiency_5a7c694b.jpg,potassium deficiency
./infections/anthracnose/anthracnose_1312698.jpg,anthracnose
./infections/anthracnose/anthracnose_1312699.jpg,anthracnose
./infections/anthracnose/anthracnose_476192554.jpg,anthracnose
./infections/anthracnose/anthracnose_5764239.jpg,anthracnose
./infections/anthracnose/anthracnose_5764240.jpg,anthracnose
./infections/anthracnose/anthracnose_5764241.jpg,anthracnose
./infections/anthracnose/anthracnose_5764242.jpg,anthracnose
./infections/anthracnose/anthracnose_5764243.jpg,anthracnose
./infections/anthracnose/anthracnose_5764244.jpg,anthracnose
./infections/anthracnose/anthracnose_5764246.jpg,anthracnose
./infections/anthracnose/anthracnose_5764247.jpg,anthracnose
./infections/anthracnose/anthracnose_5764248.jpg,anthracnose
./infections/anthracnose/anthracnose_5764250.jpg,anthracnose
./infections/anthracnose/anthracnose_5764251.jpg,anthracnose
./infections/anthracnose/anthracnose_5764252.jpg,anthracnose
./infections/aster yellows/aster_yellows_100828648.jpg,aster yellows
./infections/aster yellows/aster_yellows_214288641.jpg,aster yellows
./infections/aster yellows/aster_yellows_220134756.jpg,aster yellows
./infections/aster yellows/aster_yellows_400287073.jpg,aster yellows
./infections/aster yellows/aster_yellows_400287302.jpg,aster yellows
./infections/aster yellows/aster_yellows_400289741.jpg,aster yellows
./infections/aster yellows/aster_yellows_400290612.jpg,aster yellows
./infections/aster yellows/aster_yellows_48790280.jpg,aster yellows
./infections/aster yellows/aster_yellows_48790288.jpg,aster yellows
./infections/aster yellows/aster_yellows_48790302.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147623.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147661.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147693.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147725.jpg,aster yellows
./infections/aster yellows/aster_yellows_578147756.jpg,aster yellows
./infections/botrytis blight/botrytis_blight_298856781.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_298856835.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_298856865.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_298856899.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_298856941.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_298856967.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_298856994.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_298857007.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_512353637.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_512353677.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_512353699.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_512355791.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_512356304.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_81383188.jpg,botrytis blight
./infections/botrytis blight/botrytis_blight_81383207.jpg,botrytis blight
./infections/canker/canker_277047093.jpg,canker
./infections/canker/canker_277047289.jpg,canker
./infections/canker/canker_29217178.jpg,canker
./infections/canker/canker_29217180.jpg,canker
./infections/canker/canker_29217183.jpg,canker
./infections/canker/canker_29217186.jpg,canker
./infections/canker/canker_29217190.jpg,canker
./infections/canker/canker_56413530.jpg,canker
./infections/canker/canker_56414090.jpg,canker
./infections/canker/canker_5735666.jpg,canker
./infections/canker/canker_5735667.jpg,canker
./infections/canker/canker_5735668.jpg,canker
./infections/canker/canker_5735669.jpg,canker
./infections/canker/canker_5735670.jpg,canker
./infections/canker/canker_5735671.jpg,canker
./infections/chestnut blight/chestnut_blight_122976076.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976108.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976131.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976158.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976193.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976230.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976261.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976292.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976316.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_122976338.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_123044438.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_123044472.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_123044518.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_276806796.jpg,chestnut blight
./infections/chestnut blight/chestnut_blight_572054879.jpg,chestnut blight
./infections/crown gall/crown_gall_592905826.jpg,crown gall
./infections/crown gall/crown_gall_592905852.jpg,crown gall
./infections/crown gall/crown_gall_592912536.jpg,crown gall
./infections/crown gall/crown_gall_598111641.jpg,crown gall
./infections/crown gall/crown_gall_598111670.jpg,crown gall
./infections/crown gall/crown_gall_598485616.jpg,crown gall
./infections/crown gall/crown_gall_602839184.jpg,crown gall
./infections/crown gall/crown_gall_602839258.jpg,crown gall
./infections/crown gall/crown_gall_602839498.jpg,crown gall
./infections/crown gall/crown_gall_602839828.jpg,crown gall
./infections/crown gall/crown_gall_616575705.jpg,crown gall
./infections/crown gall/crown_gall_616575710.jpg,crown gall
./infections/crown gall/crown_gall_616575716.jpg,crown gall
./infections/crown gall/crown_gall_617028864.jpg,crown gall
./infections/crown gall/crown_gall_617486494.jpg,crown gall
./infections/downy mildew/downy_mildew_185318511.jpg,downy mildew
./infections/downy mildew/downy_mildew_185318532.jpg,downy mildew
./infections/downy mildew/downy_mildew_185318544.jpg,downy mildew
./infections/downy mildew/downy_mildew_185318551.jpg,downy mildew
./infections/downy mildew/downy_mildew_185318641.jpg,downy mildew
./infections/downy mildew/downy_mildew_185318643.jpg,downy mildew
./infections/downy mildew/downy_mildew_185318649.jpg,downy mildew
./infections/downy mildew/downy_mildew_211061651.jpg,downy mildew
./infections/downy mildew/downy_mildew_358662031.jpg,downy mildew
./infections/downy mildew/downy_mildew_358662040.jpg,downy mildew
./infections/downy mildew/downy_mildew_358662055.jpg,downy mildew
./infections/downy mildew/downy_mildew_358662069.jpg,downy mildew
./infections/downy mildew/downy_mildew_358662083.jpg,downy mildew
./infections/downy mildew/downy_mildew_374029785.jpg,downy mildew
./infections/downy mildew/downy_mildew_374029840.jpg,downy mildew
./infections/dutch elm disease/dutch_elm_disease_427251538.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254021.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254053.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254063.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254097.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254120.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254132.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254146.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254164.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254206.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_427254225.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_441680492.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_625866443.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_625866472.jpg,dutch elm disease
./infections/dutch elm disease/dutch_elm_disease_625866526.jpg,dutch elm disease
./infections/fire blight/fire_blight_226527610.jpg,fire blight
./infections/fire blight/fire_blight_229030797.jpg,fire blight
./infections/fire blight/fire_blight_229030826.jpg,fire blight
./infections/fire blight/fire_blight_229030869.jpg,fire blight
./infections/fire blight/fire_blight_229030916.jpg,fire blight
./infections/fire blight/fire_blight_229030947.jpg,fire blight
./infections/fire blight/fire_blight_455658902.jpg,fire blight
./infections/fire blight/fire_blight_455659063.jpg,fire blight
./infections/fire blight/fire_blight_474993811.jpg,fire blight
./infections/fire blight/fire_blight_474993833.jpg,fire blight
./infections/fire blight/fire_blight_474993848.jpg,fire blight
./infections/fire blight/fire_blight_474993864.jpg,fire blight
./infections/fire blight/fire_blight_474993885.jpg,fire blight
./infections/fire blight/fire_blight_53606802.jpg,fire blight
./infections/fire blight/fire_blight_53606804.jpg,fire blight
./infections/late blight/late_blight_108091091.jpg,late blight
./infections/late blight/late_blight_108091102.jpg,late blight
./infections/late blight/late_blight_108091111.jpg,late blight
./infections/late blight/late_blight_108091123.jpg,late blight
./infections/late blight/late_blight_108091144.jpg,late blight
./infections/late blight/late_blight_172955709.jpg,late blight
./infections/late blight/late_blight_172955726.jpg,late blight
./infections/late blight/late_blight_172955730.jpg,late blight
./infections/late blight/late_blight_172955788.jpg,late blight
./infections/late blight/late_blight_242965429.jpg,late blight
./infections/late blight/late_blight_242965438.jpg,late blight
./infections/late blight/late_blight_379854071.jpg,late blight
./infections/late blight/late_blight_379854170.jpg,late blight
./infections/late blight/late_blight_379854296.jpg,late blight
./infections/late blight/late_blight_379854450.jpg,late blight
./infections/mosaic/mosaic_138632431.jpg,mosaic
./infections/mosaic/mosaic_144567387.jpg,mosaic
./infections/mosaic/mosaic_144567409.jpg,mosaic
./infections/mosaic/mosaic_146239837.jpg,mosaic
./infections/mosaic/mosaic_181459762.jpg,mosaic
./infections/mosaic/mosaic_181459772.jpg,mosaic
./infections/mosaic/mosaic_201065997.jpg,mosaic
./infections/mosaic/mosaic_201066050.jpg,mosaic
./infections/mosaic/mosaic_242346792.jpg,mosaic
./infections/mosaic/mosaic_26900486.jpg,mosaic
./infections/mosaic/mosaic_26900629.jpg,mosaic
./infections/mosaic/mosaic_382732579.jpg,mosaic
./infections/mosaic/mosaic_382732705.jpg,mosaic
./infections/mosaic/mosaic_389796022.jpg,mosaic
./infections/mosaic/mosaic_504922382.jpg,mosaic
./infections/powdery mildew/powdery_mildew_320712583.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_320712605.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_320712636.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_320712662.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_320712681.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_320712701.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_320712718.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_437488364.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_437488367.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_437488379.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_437488395.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_437489567.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_437489582.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_437489595.jpg,powdery mildew
./infections/powdery mildew/powdery_mildew_437489611.jpg,powdery mildew
./infections/rice bacterial blight/rice_bacterial_blight_205017982.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_205018004.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_214502840.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_214511756.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_215394272.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_215394983.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_215395025.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_215395243.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_215395304.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_375498316.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_375498351.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_375498378.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_375498420.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_375498463.jpg,rice bacterial blight
./infections/rice bacterial blight/rice_bacterial_blight_58513584.jpg,rice bacterial blight
./infections/root-knot nematode disease/root-knot_nematode_disease_119458087.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_119458094.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_175938328.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_175938346.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_175938357.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_175938373.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_175938385.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_226214175.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_28759882.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_28759884.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_290353409.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_422003914.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_548944554.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_548944597.jpg,root-knot nematode disease
./infections/root-knot nematode disease/root-knot_nematode_disease_548944638.jpg,root-knot nematode disease
./infections/rot/rot_107972527.jpg,rot
./infections/rot/rot_107972534.jpg,rot
./infections/rot/rot_38700251.jpg,rot
./infections/rot/rot_401375359.jpg,rot
./infections/rot/rot_401375401.jpg,rot
./infections/rot/rot_401375431.jpg,rot
./infections/rot/rot_4041144.jpg,rot
./infections/rot/rot_4041145.jpg,rot
./infections/rot/rot_4044275.jpg,rot
./infections/rot/rot_4044276.jpg,rot
./infections/rot/rot_4134685.jpg,rot
./infections/rot/rot_43089713.jpg,rot
./infections/rot/rot_435526544.jpg,rot
./infections/rot/rot_435526601.jpg,rot
./infections/rot/rot_55911047.jpg,rot
./infections/rust/rust_209342757.jpg,rust
./infections/rust/rust_235673351.jpg,rust
./infections/rust/rust_235673365.jpg,rust
./infections/rust/rust_235673379.jpg,rust
./infections/rust/rust_235673397.jpg,rust
./infections/rust/rust_235673404.jpg,rust
./infections/rust/rust_235673414.jpg,rust
./infections/rust/rust_303718004.jpg,rust
./infections/rust/rust_303718033.jpg,rust
./infections/rust/rust_304269812.jpg,rust
./infections/rust/rust_304269816.jpg,rust
./infections/rust/rust_304269821.jpg,rust
./infections/rust/rust_355513470.jpg,rust
./infections/rust/rust_355513477.jpg,rust
./infections/rust/rust_64997128.jpg,rust
./infections/scab/scab_231427257.jpg,scab
./infections/scab/scab_321893150.jpg,scab
./infections/scab/scab_321893182.jpg,scab
./infections/scab/scab_422010481.jpg,scab
./infections/scab/scab_424734897.jpg,scab
./infections/scab/scab_432881483.jpg,scab
./infections/scab/scab_558687904.jpg,scab
./infections/scab/scab_558687936.jpg,scab
./infections/scab/scab_558687946.jpg,scab
./infections/scab/scab_584774703.jpg,scab
./infections/scab/scab_96187468.jpg,scab
./infections/scab/scab_96187522.jpg,scab
./infections/scab/scab_96187529.jpg,scab
./infections/scab/scab_96187536.jpg,scab
./infections/scab/scab_96187552.jpg,scab
./infections/smut/smut_188018112.jpg,smut
./infections/smut/smut_192319093.jpg,smut
./infections/smut/smut_192319173.jpg,smut
./infections/smut/smut_44949613.jpg,smut
./infections/smut/smut_520207575.jpg,smut
./infections/smut/smut_520207623.jpg,smut
./infections/smut/smut_520207771.jpg,smut
./infections/smut/smut_520207775.jpg,smut
./infections/smut/smut_520207779.jpg,smut
./infections/smut/smut_520208299.jpg,smut
./infections/smut/smut_520208348.jpg,smut
./infections/smut/smut_520208400.jpg,smut
./infections/smut/smut_520208459.jpg,smut
./infections/smut/smut_70054213.jpg,smut
./infections/smut/smut_70054227.jpg,smut
./infections/wilt/wilt_263646501.jpg,wilt
./infections/wilt/wilt_308222134.jpg,wilt
./infections/wilt/wilt_40016354.jpg,wilt
./infections/wilt/wilt_40016357.jpg,wilt
./infections/wilt/wilt_40016880.jpg,wilt
./infections/wilt/wilt_40016890.jpg,wilt
./infections/wilt/wilt_40016902.jpg,wilt
./infections/wilt/wilt_40016907.jpg,wilt
./infections/wilt/wilt_48824915.jpg,wilt
./infections/wilt/wilt_48824948.jpg,wilt
./infections/wilt/wilt_48824970.jpg,wilt
./infections/wilt/wilt_48824984.jpg,wilt
./infections/wilt/wilt_48825000.jpg,wilt
./infections/wilt/wilt_588754296.jpg,wilt
./infections/wilt/wilt_588754322.jpg,wilt
